word,label
powder,powder
"brand,powder",powder
soap,soap
"brands,soap",soap
hi,general
"good,morning",general
you,general
shampoo,shampoo
"i,shampoo",shampoo
"i,soap",soap
"flavor,soap",soap
lipstick,lipstick
"i,lipstick",lipstick
"brands,lipstick",lipstick
"i,powder",powder
perfume,perfume
"I,perfume",perfume
"brands,perfume",perfume
"color,soap",soap
"soap,company",soap
"flavor,perfume",perfume
"brands,soaps",soap
"brand,soap",soap
soaps,soap
movie,general
"price,soap",soap
"types,soaps",soap
"names,soaps",soap
"skin,type,soap",soap
"price,soaps",soap
"ingredients,soap",soap
"i,baby,soap",soap
"i,lime,soap",soap
"i,herbal,soap",soap
"price,baby,soap",soap
"discount,soap",soap
"discount,soaps",soap
"I,discount,soap",soap
morning,general
"i,lifeboy,soap",soap
"i,lux,soap",soap
"life,boy",soap
lux,soap
dove,soap
"baby,soap",soap
"flavor,soap",soap
"flavor,soap,men",soap
"flavor,soap,children",soap
"brand,herbal",soap
"sandal,soap",soap
"information,soap",soap
"effects,soap",soap
"sideeffects,soap",soap
"details,products",soap
brand,general
"expiry,date,soap",soap
"features,soaps",soap
"soap,baby",soap
"soaps,skin",soap
"lime,soap",soap
"size,soap",soap
"color,soaps",soap
"soap,childrens",soap
"soap,health",soap
"brands,perfume",perfume
prefumes,perfume
"types,perfumes",perfume
"price,perfumes",perfume
"price,perfume",perfume
"discount,perfumes",perfume
"flavor,perfumes",perfume
"price,powder",powder
"types,powders",powder
"names,powders",powder
"skin,type,powder",powder
"price,powders",powder
"ingredients,powders",powder
"i,baby,powder",powder
"i,dove,powder",powder
"i,herbal,powder",powder
"price,baby,powder",powder
"discount,powder",powder
"discount,powders",powder
"I,discount,powder",powder
"i,ponds,powder",powder
"i,dove,powder",powder
ponds,powder
"baby,powder",powder
"flavor,powder",powder
"flavor,powder,men",powder
"flavor,powder,children",powder
"information,powder",powder
"effects,powder",powder
"sideeffects,powder",powder
"expiry,date,powder",powder
"features,powders",powder
"powder,baby",powder
"powders,skin",powder
"size,powder",powder
"smell,powder",powder
"powder,childrens",powder
"powder,cool",powder
"price,shampoo",shampoo
"types,shampoo",shampoo
"names,shampoos",shampoo
"skin,type,shampoo",shampoo
"price,shampoos",shampoo
"ingredients,shampoo",shampoo
"i,baby,shampoo",shampoo
"i,dove,shampoo",shampoo
"i,head,shoulder,shampoo",shampoo
"price,baby,shampoo",shampoo
"discount,shampoo",shampoo
"discount,shampoos",shampoo
"I,discount,shampoo",shampoo
"i,herbal,shampoo",shampoo
"i,dove,shampoo",shampoo
"i,head,shoulder",shampoo
"baby,shampoo",shampoo
"flavor,shampoo",shampoo
"flavor,shampoo,men",shampoo
"flavor,shampoo,children",shampoo
"information,shampoo",shampoo
"effects,shampoo",shampoo
"sideeffects,shampoo",shampoo
"expiry,date,shampoo",shampoo
"features,shampoos",shampoo
shampoo,shampoo
"size,shampoo",shampoo
"smell,powder",shampoo
"hair,fall,shampoo",shampoo
"shampoo,dandruf",shampoo
"price,perfume",perfume
"types,perfumes",perfume
"names,perfumes",perfume
"skin,type,perfumes",perfume
"price,perfumes",perfume
"ingredients,perfume",perfume
"i,citrus,perfume",perfume
"i,fruity,perfume",perfume
"i,oriental,perfume",perfume
"price,citrus,perfume",perfume
"discount,perfumes",perfume
"discount,perfumes",perfume
"I,discount,perfume",perfume
"i,oriental,perfume",perfume
"i,spicy,perfume",perfume
"i,fruity,perfume",perfume
"citrus,perfume",perfume
"flavor,perfume",perfume
"flavor,perfume,men",perfume
"flavor,perfume,children",perfume
"information,perfume",perfume
"effects,perfume",perfume
"sideeffects,perfume",perfume
"expiry,date,perfume",perfume
"features,perfumes",perfume
perfume,perfume
"size,perfume",perfume
"smell,perfume",perfume
"men,perfume",perfume
"women,perfume",perfume
"I,men,perfume",perfume
"I,women,perfume",perfume
"price,lipstick",lipstick
"types,lipsticks",lipstick
"names,lipsticks",lipstick
"girls,lipstick",lipstick
"price,lipstick",lipstick
"ingredients,lipstick",lipstick
"i,mac,lipstick",lipstick
"i,nars,lipstick",lipstick
"i,dior,lipstick",lipstick
"price,mac,lipstick",lipstick
"discount,lipstick",lipstick
"discount,lipstick",lipstick
"I,discount,lipstick",lipstick
"i,nyx,lipstick",lipstick
"i,mac,lipstick",lipstick
"i,nars,lipstick",lipstick
"dior,lipstick",lipstick
"flavor,lipstick",lipstick
"flavor,lipstick,men",lipstick
"flavor,lipstick,children",lipstick
"information,lipstick",lipstick
"effects,lipstick",lipstick
"sideeffects,lipstick",lipstick
"expiry,date,lipstick",lipstick
"features,lipsticks",lipstick
lipstick,lipstick
"size,lipstick",lipstick
"smell,lipstick",lipstick
"colors,lipstick",lipstick
"women,lipstick",lipstick
"I,men,lipstick",lipstick
"I,women,perfume",lipstick
"good,evening",general
hi,general
"hi,hello",general
"good,night",general
"thank,you",general
"I,movie",general
"I,car",general
"I,house",general
"I,pen",general
